8566699451,28
7103424901,32
9610354804,14
7974058544,27
4721488336,36
4053976962,43
8471478551,51
3972427857,92
8685326490,53
3610815934,61
9707851762,7
4750269222,21
6867748999,78
5046575982,89
8794451841,5
9639518654,50
8672834376,9
3745662208,81
8765651778,46
8850557813,13
4490934755,54
3985353037,33
8128506230,91
7670781653,85
2255883577,84
9032390549,0
9125389138,4
6269107470,58
4401156592,31
2713413226,6
2510116399,2
3637368531,90
9832468050,44
3627396698,23
7609526869,94
6129653022,70
3396581566,47
3750063324,19
3098326032,57
9216530223,37
3058974530,80
8439553108,24
6221747409,11
5190406025,76
3236881644,29
3376109036,65
2201774048,39
7597500644,79
5655122885,15
3705832353,66
5531591006,67
3684980314,96
7557452898,42
3740964941,64
5015068078,38
5743192933,40
7287905257,83
3866430139,17
9521465555,1
2286794249,52
9537609859,48
2097096517,93
5666222270,87
5630455919,86
8343039463,56
3740867902,97
5054498257,16
6326557950,10
8375527924,41
4708677056,60
3977091252,71
2446092891,30
9983026779,69
9158180682,8
4246107993,62
2630512204,3
9169347465,95
9482606616,20
8127066654,88
2879658947,25
8720093768,26
7163726033,55
6936863433,63
4767017722,45
6100645139,72
6137112001,74
5944304513,75
6197947193,68
7625241346,35
9844308350,77
5943896513,12
6230092670,49
2794525362,82
7187983478,73
7616896039,59
4548171227,34
2878920632,18
9609255353,22
